id,object,arm,seed,filename,cos_to_target,global_p_obj,roi_p_obj,grad_align
car,car,edge_v2,4,car__edge_v2_seed4.png,0.9899,0.8712,0.4959,0.0045
cat,cat,pad0,0,cat__pad0_seed0.png,0.9509,0.0085,0.0509,nan
cat,cat,pad0,1,cat__pad0_seed1.png,0.9918,0.0044,0.1602,nan
cat,cat,pad0,2,cat__pad0_seed2.png,0.9785,0.0028,0.0532,nan
cat,cat,pad0,3,cat__pad0_seed3.png,0.9781,0.0042,0.0213,nan
cat,cat,pad0,4,cat__pad0_seed4.png,0.9675,0.0042,0.0679,nan
cat,cat,pad0.15,0,cat__pad0.15_seed0.png,0.9796,0.0080,0.0822,nan
cat,cat,pad0.15,1,cat__pad0.15_seed1.png,0.9531,0.0064,0.0837,nan
cat,cat,pad0.15,2,cat__pad0.15_seed2.png,0.9602,0.0459,0.4466,nan
cat,cat,pad0.15,3,cat__pad0.15_seed3.png,0.9716,0.0041,0.0884,nan
cat,cat,pad0.15,4,cat__pad0.15_seed4.png,0.9618,0.0037,0.1269,nan
cat,cat,edge_v1,0,cat__edge_v1_seed0.png,0.9803,0.0031,0.0542,nan
cat,cat,edge_v1,1,cat__edge_v1_seed1.png,0.9858,0.0040,0.0759,nan
cat,cat,edge_v1,2,cat__edge_v1_seed2.png,0.9823,0.0086,0.1562,nan
cat,cat,edge_v1,3,cat__edge_v1_seed3.png,0.9784,0.0050,0.1548,nan
cat,cat,edge_v1,4,cat__edge_v1_seed4.png,0.9735,0.0023,0.0803,nan
cat,cat,edge_v2,0,cat__edge_v2_seed0.png,0.9710,0.0056,0.0366,0.0102
cat,cat,edge_v2,1,cat__edge_v2_seed1.png,0.9915,0.0030,0.0169,0.0088
cat,cat,edge_v2,2,cat__edge_v2_seed2.png,0.9702,0.0032,0.0764,0.0101
cat,cat,edge_v2,3,cat__edge_v2_seed3.png,0.9901,0.0036,0.1158,0.0061
cat,cat,edge_v2,4,cat__edge_v2_seed4.png,0.9813,0.0023,0.0336,0.0076
dog,dog,pad0,0,dog__pad0_seed0.png,0.8772,0.6109,0.6723,nan
dog,dog,pad0,1,dog__pad0_seed1.png,0.8859,0.5242,0.5520,nan
dog,dog,pad0,2,dog__pad0_seed2.png,0.9080,0.5288,0.5484,nan
dog,dog,pad0,3,dog__pad0_seed3.png,0.8800,0.4930,0.5569,nan
dog,dog,pad0,4,dog__pad0_seed4.png,0.8873,0.5972,0.5437,nan
dog,dog,pad0.15,0,dog__pad0.15_seed0.png,0.9670,0.0044,0.0258,nan
dog,dog,pad0.15,1,dog__pad0.15_seed1.png,0.9644,0.0056,0.0459,nan
dog,dog,pad0.15,2,dog__pad0.15_seed2.png,0.9569,0.0102,0.0716,nan
dog,dog,pad0.15,3,dog__pad0.15_seed3.png,0.9715,0.0016,0.0379,nan
dog,dog,pad0.15,4,dog__pad0.15_seed4.png,0.9517,0.0145,0.1507,nan
dog,dog,edge_v1,0,dog__edge_v1_seed0.png,0.9537,0.0499,0.2926,nan
dog,dog,edge_v1,1,dog__edge_v1_seed1.png,0.9385,0.0615,0.4020,nan
dog,dog,edge_v1,2,dog__edge_v1_seed2.png,0.9720,0.0036,0.0481,nan
dog,dog,edge_v1,3,dog__edge_v1_seed3.png,0.9542,0.0575,0.2441,nan
dog,dog,edge_v1,4,dog__edge_v1_seed4.png,0.9259,0.1062,0.2768,nan
dog,dog,edge_v2,0,dog__edge_v2_seed0.png,0.8891,0.6032,0.5428,0.0071
dog,dog,edge_v2,1,dog__edge_v2_seed1.png,0.8576,0.6018,0.6001,0.0063
dog,dog,edge_v2,2,dog__edge_v2_seed2.png,0.8927,0.5273,0.5561,0.0071
dog,dog,edge_v2,3,dog__edge_v2_seed3.png,0.8699,0.5895,0.5728,0.0035
dog,dog,edge_v2,4,dog__edge_v2_seed4.png,0.8825,0.5288,0.5517,0.0065
school_zone_sign,speed sign,pad0,0,school_zone_sign__pad0_seed0.png,0.9426,0.9995,0.2805,nan
school_zone_sign,speed sign,pad0,1,school_zone_sign__pad0_seed1.png,0.9390,0.9997,0.2912,nan
school_zone_sign,speed sign,pad0,2,school_zone_sign__pad0_seed2.png,0.9467,0.9996,0.2131,nan
school_zone_sign,speed sign,pad0,3,school_zone_sign__pad0_seed3.png,0.9497,0.9989,0.2773,nan
school_zone_sign,speed sign,pad0,4,school_zone_sign__pad0_seed4.png,0.9428,0.9993,0.2373,nan
school_zone_sign,speed sign,pad0.15,0,school_zone_sign__pad0.15_seed0.png,0.9595,0.9967,0.3115,nan
school_zone_sign,speed sign,pad0.15,1,school_zone_sign__pad0.15_seed1.png,0.9528,0.9974,0.2911,nan
school_zone_sign,speed sign,pad0.15,2,school_zone_sign__pad0.15_seed2.png,0.9526,0.9968,0.2877,nan
school_zone_sign,speed sign,pad0.15,3,school_zone_sign__pad0.15_seed3.png,0.9499,0.9978,0.2955,nan
school_zone_sign,speed sign,pad0.15,4,school_zone_sign__pad0.15_seed4.png,0.9554,0.9985,0.3127,nan
school_zone_sign,speed sign,edge_v1,0,school_zone_sign__edge_v1_seed0.png,0.9641,0.9948,0.3118,nan
school_zone_sign,speed sign,edge_v1,1,school_zone_sign__edge_v1_seed1.png,0.9691,0.9944,0.3203,nan
school_zone_sign,speed sign,edge_v1,2,school_zone_sign__edge_v1_seed2.png,0.9598,0.9948,0.3307,nan
school_zone_sign,speed sign,edge_v1,3,school_zone_sign__edge_v1_seed3.png,0.9656,0.9954,0.3099,nan
school_zone_sign,speed sign,edge_v1,4,school_zone_sign__edge_v1_seed4.png,0.9685,0.9930,0.2531,nan
school_zone_sign,speed sign,edge_v2,0,school_zone_sign__edge_v2_seed0.png,0.9440,0.9994,0.2627,0.0011
school_zone_sign,speed sign,edge_v2,1,school_zone_sign__edge_v2_seed1.png,0.9380,0.9994,0.3187,0.0030
school_zone_sign,speed sign,edge_v2,2,school_zone_sign__edge_v2_seed2.png,0.9435,0.9995,0.2154,0.0038
school_zone_sign,speed sign,edge_v2,3,school_zone_sign__edge_v2_seed3.png,0.9453,0.9993,0.2675,0.0037
school_zone_sign,speed sign,edge_v2,4,school_zone_sign__edge_v2_seed4.png,0.9441,0.9993,0.2802,-0.0022
