eps,kind,p_obj_mean,p_obj_max,cls_sim_obj,cls_sim_couch,cos_to_removed,drift_obj,drift_far
0.0,baseline,0.8635372519493103,0.9995604157447815,0.27620428800582886,0.25469714403152466,0.5907222628593445,1.0111502e-08,7.490709e-10
2.0,pgd,0.8412772417068481,0.9997041821479797,0.25716158747673035,0.2787402868270874,0.6133254170417786,0.10147541,0.012249881
2.0,interp,0.8627742528915405,0.9995775818824768,0.27610141038894653,0.2546931803226471,0.5905925631523132,3.6546695e-05,8.299492e-06
4.0,pgd,0.5777464509010315,0.9941384792327881,0.21535229682922363,0.30091533064842224,0.6285532712936401,0.23982283,0.057404663
4.0,interp,0.862098753452301,0.9995935559272766,0.27600452303886414,0.254680335521698,0.5904325246810913,0.0001455274,3.2721666e-05
8.0,pgd,0.42696473002433777,0.9363359212875366,0.21000754833221436,0.30907902121543884,0.6765183210372925,0.31947488,0.08823349
8.0,interp,0.8610396981239319,0.9996229410171509,0.27582740783691406,0.25463443994522095,0.5900176167488098,0.00057839387,0.00012699064
16.0,pgd,0.3371228277683258,0.9207908511161804,0.210194393992424,0.31139495968818665,0.685874342918396,0.33501205,0.094552964
16.0,interp,0.8602062463760376,0.9996726512908936,0.27557018399238586,0.25444039702415466,0.5888684391975403,0.0022624934,0.00048391309
32.0,pgd,0.3465143144130707,0.9871609210968018,0.20830567181110382,0.31144997477531433,0.6842454671859741,0.36414686,0.102137044
32.0,interp,0.864331066608429,0.999736487865448,0.2755270004272461,0.2538031339645386,0.5859299898147583,0.008980496,0.001808481
64.0,pgd,0.31850412487983704,0.918214738368988,0.2122737169265747,0.3137684464454651,0.6810272336006165,0.35675737,0.0991606
64.0,interp,0.8731927275657654,0.999779999256134,0.27870476245880127,0.2543248236179352,0.5823202729225159,0.03634602,0.0070311786
128.0,pgd,0.2412215620279312,0.9780710339546204,0.20848849415779114,0.31185564398765564,0.6919692158699036,0.36083108,0.10670447
128.0,interp,0.8481612205505371,0.9996451139450073,0.29262691736221313,0.2649802565574646,0.5830084681510925,0.16813572,0.028116427
