eps,kind,p_obj_mean,p_obj_max,cls_sim_obj,cls_sim_couch,cos_to_removed,drift_obj,drift_far
0.0,baseline,0.8635372519493103,0.9995604157447815,0.27620428800582886,0.25469714403152466,0.5907222628593445,1.0111502e-08,7.490709e-10
2.0,pgd,0.6852769255638123,0.9997370839118958,0.1233099028468132,0.19204236567020416,0.5441399812698364,0.15955065,0.01791955
2.0,interp,0.8627742528915405,0.9995775818824768,0.27610141038894653,0.2546931803226471,0.5905925631523132,3.6546695e-05,8.299492e-06
4.0,pgd,0.3938617706298828,0.9882098436355591,0.042018353939056396,0.15050458908081055,0.5312952995300293,0.25327903,0.032984722
4.0,interp,0.862098753452301,0.9995935559272766,0.27600452303886414,0.254680335521698,0.5904325246810913,0.0001455274,3.2721666e-05
8.0,pgd,0.24137841165065765,0.9953882694244385,-0.06961365044116974,0.10500632971525192,0.5297387838363647,0.30254903,0.041823767
8.0,interp,0.8610396981239319,0.9996229410171509,0.27582740783691406,0.25463443994522095,0.5900176167488098,0.00057839387,0.00012699064
16.0,pgd,0.21772034466266632,0.9692864418029785,-0.14130376279354095,0.05798850208520889,0.5309529900550842,0.3348569,0.04583134
16.0,interp,0.8602062463760376,0.9996726512908936,0.27557018399238586,0.25444039702415466,0.5888684391975403,0.0022624934,0.00048391309
32.0,pgd,0.22963814437389374,0.9838846921920776,-0.18891145288944244,0.02850959450006485,0.5275747776031494,0.34376097,0.049017414
32.0,interp,0.864331066608429,0.999736487865448,0.2755270004272461,0.2538031339645386,0.5859299898147583,0.008980496,0.001808481
64.0,pgd,0.1596403867006302,0.9094330072402954,-0.2370481938123703,-0.02194134145975113,0.5110598206520081,0.39164808,0.063174896
64.0,interp,0.8731927275657654,0.999779999256134,0.27870476245880127,0.2543248236179352,0.5823202729225159,0.03634602,0.0070311786
128.0,pgd,0.12782034277915955,0.970689594745636,-0.2824787497520447,-0.05304328352212906,0.5149266123771667,0.4024977,0.07680379
128.0,interp,0.8481612205505371,0.9996451139450073,0.29262691736221313,0.2649802565574646,0.5830084681510925,0.16813572,0.028116427
